incident_id,detected_at,hazard_class,severity_score,severity_level,spatial_term,temporal_term,confidence,priority,zone,ward,landmark,latitude,longitude,location_source,source_clip,video_time_sec,bbox_x1,bbox_y1,bbox_x2,bbox_y2,status,department,crew,recommended_action,sla_target_hours,escalated,escalated_at,resolution_note,rejection_reason,closed_at,sightings,audit_entry_count
INC-2026-0004,2026-08-27T01:45:00.590Z,drain_overflow,0.6253,High,0.5756,0.7000,0.5078,P1,EC Phase 1,Bommanahalli,Konappana Agrahara Main Road,12.850019,77.661959,simulated,Test_2.mp4,0.59,52,114,793,477,open,,,Dispatch emergency desilting crew within 4 h. Cordon the footpath. Raise BWSSB sewage-mix check - public-health risk.,4,false,,,,,8,4
INC-2026-0008,2026-08-27T01:45:06.247Z,waterlogged_road,0.3690,Medium,0.3484,0.4000,0.3916,P1,EC Phase 1,Bommanahalli,Konappana Agrahara Main Road,12.850198,77.661565,simulated,Test_2.mp4,6.25,79,144,691,472,open,,,Inspect nearest storm-water inlet for silt within 24 h. Clear debris. Monitor during next rainfall.,4,false,,,,,4,3
INC-2026-0006,2026-08-27T01:45:02.973Z,waterlogged_road,0.4240,Medium,0.6400,0.1000,0.4303,P1,EC Phase 1,Bommanahalli,Konappana Agrahara Main Road,12.850094,77.661793,simulated,Test_2.mp4,5.24,15,164,854,477,open,,,Inspect nearest storm-water inlet for silt within 24 h. Clear debris. Monitor during next rainfall.,4,false,,,,,2,2
INC-2026-0009,2026-08-27T01:45:07.180Z,drain_overflow,0.4794,Medium,0.1324,1.0000,0.3249,P2,EC Phase 1,Bommanahalli,Konappana Agrahara Main Road,12.850228,77.6615,simulated,Test_2.mp4,7.18,302,157,557,282,open,,,Schedule desilting within 24 h. Inspect upstream manholes for blockage.,24,false,,,,,20,9
INC-2026-0002,2026-08-27T01:45:04.237Z,pothole,0.3353,Medium,0.0256,0.8000,0.7079,P2,EC Phase 1,Bommanahalli,Electronic City Flyover (Toll Plaza),12.845359,77.660482,simulated,Test_1_Pothole.mp4,4.32,667,835,850,942,open,,,Schedule cold-mix patching within 24 h. Place hazard marker if on a curve or junction approach.,24,false,,,,,8,7
INC-2026-0007,2026-08-27T01:45:04.020Z,drain_overflow,0.3198,Medium,0.4664,0.1000,0.3124,P2,EC Phase 1,Bommanahalli,Konappana Agrahara Main Road,12.850128,77.66172,simulated,Test_2.mp4,5.83,77,137,697,446,open,,,Schedule desilting within 24 h. Inspect upstream manholes for blockage.,24,false,,,,,6,6
INC-2026-0005,2026-08-27T01:45:01.988Z,pothole,0.5974,Medium,0.3289,1.0000,0.3008,P2,EC Phase 1,Bommanahalli,Konappana Agrahara Main Road,12.850063,77.661862,simulated,Test_2.mp4,1.99,169,143,718,445,open,,,Schedule cold-mix patching within 24 h. Place hazard marker if on a curve or junction approach.,24,false,,,,,16,6
INC-2026-0001,2026-08-27T01:45:00.643Z,pothole,0.3238,Medium,0.0063,0.8000,0.3576,P2,EC Phase 1,Bommanahalli,Electronic City Flyover (Toll Plaza),12.845224,77.660243,simulated,Test_1_Pothole.mp4,0.64,75,1426,165,1551,open,,,Schedule cold-mix patching within 24 h. Place hazard marker if on a curve or junction approach.,24,false,,,,,11,8
INC-2026-0010,2026-08-27T01:45:10.819Z,waterlogged_road,0.2579,Low,0.3632,0.1000,0.3344,P3,EC Phase 1,Bommanahalli,Konappana Agrahara Main Road,12.850344,77.661247,simulated,Test_2.mp4,10.82,224,179,778,448,open,,,Log for monsoon-preparedness survey. Verify inlet gradient during dry-weather inspection.,72,false,,,,,1,1
INC-2026-0003,2026-08-27T01:45:07.249Z,pothole,0.0806,Low,0.0010,0.2000,0.3887,P3,EC Phase 1,Bommanahalli,Electronic City Flyover (Toll Plaza),12.845472,77.660682,simulated,Test_1_Pothole.mp4,8.06,243,701,292,744,open,,,Add to weekly ward resurfacing list. Re-inspect if repeat sightings exceed 3.,72,false,,,,,4,4
